country,brand_name,months_postgx,volume
COUNTRY_0024,BRAND_31BE,0,70343.67
COUNTRY_0024,BRAND_31BE,1,74806.5
COUNTRY_0024,BRAND_31BE,2,73005.74
COUNTRY_0024,BRAND_31BE,3,64929.566
COUNTRY_0024,BRAND_31BE,4,65995.3
COUNTRY_0024,BRAND_31BE,5,63440.453
COUNTRY_0024,BRAND_31BE,6,64147.77
COUNTRY_0024,BRAND_31BE,7,59006.918
COUNTRY_0024,BRAND_31BE,8,60758.457
COUNTRY_0024,BRAND_31BE,9,63411.6
COUNTRY_0024,BRAND_31BE,10,66047.12
COUNTRY_0024,BRAND_31BE,11,61499.355
COUNTRY_0024,BRAND_31BE,12,50699.67
COUNTRY_0024,BRAND_31BE,13,53955.484
COUNTRY_0024,BRAND_31BE,14,52942.562
COUNTRY_0024,BRAND_31BE,15,54593.17
COUNTRY_0024,BRAND_31BE,16,61986.617
COUNTRY_0024,BRAND_31BE,17,51735.562
COUNTRY_0024,BRAND_31BE,18,56909.22
COUNTRY_0024,BRAND_31BE,19,54430.918
COUNTRY_0024,BRAND_31BE,20,44721.625
COUNTRY_0024,BRAND_31BE,21,54081.133
COUNTRY_0024,BRAND_31BE,22,51488.86
COUNTRY_0024,BRAND_31BE,23,50813.62
COUNTRY_0024,BRAND_5165,0,2328.4487
COUNTRY_0024,BRAND_5165,1,1913.0931
COUNTRY_0024,BRAND_5165,2,2322.4373
COUNTRY_0024,BRAND_5165,3,1832.4202
COUNTRY_0024,BRAND_5165,4,1556.4658
COUNTRY_0024,BRAND_5165,5,2198.7087
COUNTRY_0024,BRAND_5165,6,1968.5321
COUNTRY_0024,BRAND_5165,7,1568.8264
COUNTRY_0024,BRAND_5165,8,1768.0544
COUNTRY_0024,BRAND_5165,9,1902.2716
COUNTRY_0024,BRAND_5165,10,1874.3937
COUNTRY_0024,BRAND_5165,11,2071.4277
COUNTRY_0024,BRAND_5165,12,1699.6649
COUNTRY_0024,BRAND_5165,13,1612.0582
COUNTRY_0024,BRAND_5165,14,1988.357
COUNTRY_0024,BRAND_5165,15,1479.2981
COUNTRY_0024,BRAND_5165,16,1404.023
COUNTRY_0024,BRAND_5165,17,2054.8599
COUNTRY_0024,BRAND_5165,18,1523.7904
COUNTRY_0024,BRAND_5165,19,1768.6737
COUNTRY_0024,BRAND_5165,20,1632.5393
COUNTRY_0024,BRAND_5165,21,1594.3317
COUNTRY_0024,BRAND_5165,22,2087.2937
COUNTRY_0024,BRAND_5165,23,1508.4843
COUNTRY_01A1,BRAND_03DE,0,438396.34
COUNTRY_01A1,BRAND_03DE,1,380752.66
COUNTRY_01A1,BRAND_03DE,2,360962.7
COUNTRY_01A1,BRAND_03DE,3,349971.12
COUNTRY_01A1,BRAND_03DE,4,283451.0
COUNTRY_01A1,BRAND_03DE,5,289829.38
COUNTRY_01A1,BRAND_03DE,6,287268.56
COUNTRY_01A1,BRAND_03DE,7,273013.88
COUNTRY_01A1,BRAND_03DE,8,274171.56
COUNTRY_01A1,BRAND_03DE,9,251004.81
COUNTRY_01A1,BRAND_03DE,10,249412.03
COUNTRY_01A1,BRAND_03DE,11,258784.95
COUNTRY_01A1,BRAND_03DE,12,270600.06
COUNTRY_01A1,BRAND_03DE,13,222079.42
COUNTRY_01A1,BRAND_03DE,14,225006.66
COUNTRY_01A1,BRAND_03DE,15,222824.9
COUNTRY_01A1,BRAND_03DE,16,215414.9
COUNTRY_01A1,BRAND_03DE,17,231572.7
COUNTRY_01A1,BRAND_03DE,18,209912.3
COUNTRY_01A1,BRAND_03DE,19,205064.72
COUNTRY_01A1,BRAND_03DE,20,225086.94
COUNTRY_01A1,BRAND_03DE,21,220746.6
COUNTRY_01A1,BRAND_03DE,22,178158.77
COUNTRY_01A1,BRAND_03DE,23,163672.3
COUNTRY_01A1,BRAND_240F,0,8183.64
COUNTRY_01A1,BRAND_240F,1,8231.95
COUNTRY_01A1,BRAND_240F,2,9065.563
COUNTRY_01A1,BRAND_240F,3,7354.25
COUNTRY_01A1,BRAND_240F,4,6829.773
COUNTRY_01A1,BRAND_240F,5,5420.694
COUNTRY_01A1,BRAND_240F,6,4942.137
COUNTRY_01A1,BRAND_240F,7,5398.8306
COUNTRY_01A1,BRAND_240F,8,5596.4897
COUNTRY_01A1,BRAND_240F,9,4887.927
COUNTRY_01A1,BRAND_240F,10,3991.525
COUNTRY_01A1,BRAND_240F,11,3964.4614
COUNTRY_01A1,BRAND_240F,12,3571.4346
COUNTRY_01A1,BRAND_240F,13,3831.6775
COUNTRY_01A1,BRAND_240F,14,4170.341
COUNTRY_01A1,BRAND_240F,15,3444.2822
COUNTRY_01A1,BRAND_240F,16,3191.214
COUNTRY_01A1,BRAND_240F,17,3774.4568
COUNTRY_01A1,BRAND_240F,18,4105.1494
COUNTRY_01A1,BRAND_240F,19,4544.8735
COUNTRY_01A1,BRAND_240F,20,2042.3851
COUNTRY_01A1,BRAND_240F,21,3738.3726
COUNTRY_01A1,BRAND_240F,22,3469.0957
COUNTRY_01A1,BRAND_240F,23,3079.9912
COUNTRY_01A1,BRAND_7FD0,0,44151.17
COUNTRY_01A1,BRAND_7FD0,1,42200.07
COUNTRY_01A1,BRAND_7FD0,2,41684.51
COUNTRY_01A1,BRAND_7FD0,3,40601.684
COUNTRY_01A1,BRAND_7FD0,4,42742.867
COUNTRY_01A1,BRAND_7FD0,5,43105.484
COUNTRY_01A1,BRAND_7FD0,6,44524.883
COUNTRY_01A1,BRAND_7FD0,7,40251.61
COUNTRY_01A1,BRAND_7FD0,8,43058.562
COUNTRY_01A1,BRAND_7FD0,9,28205.852
COUNTRY_01A1,BRAND_7FD0,10,34620.016
COUNTRY_01A1,BRAND_7FD0,11,32348.803
COUNTRY_01A1,BRAND_7FD0,12,25875.533
COUNTRY_01A1,BRAND_7FD0,13,27562.611
COUNTRY_01A1,BRAND_7FD0,14,33416.367
COUNTRY_01A1,BRAND_7FD0,15,27876.7
COUNTRY_01A1,BRAND_7FD0,16,29045.889
COUNTRY_01A1,BRAND_7FD0,17,34530.258
COUNTRY_01A1,BRAND_7FD0,18,32264.564
COUNTRY_01A1,BRAND_7FD0,19,33254.293
COUNTRY_01A1,BRAND_7FD0,20,27713.91
COUNTRY_01A1,BRAND_7FD0,21,28685.78
COUNTRY_01A1,BRAND_7FD0,22,30443.623
COUNTRY_01A1,BRAND_7FD0,23,25824.477
COUNTRY_0309,BRAND_0721,0,711422.56
COUNTRY_0309,BRAND_0721,1,686417.2
COUNTRY_0309,BRAND_0721,2,661261.4
COUNTRY_0309,BRAND_0721,3,691153.3
COUNTRY_0309,BRAND_0721,4,673178.56
COUNTRY_0309,BRAND_0721,5,539930.6
COUNTRY_0309,BRAND_0721,6,510142.56
COUNTRY_0309,BRAND_0721,7,525636.0
COUNTRY_0309,BRAND_0721,8,518542.97
COUNTRY_0309,BRAND_0721,9,510283.7
COUNTRY_0309,BRAND_0721,10,513484.12
COUNTRY_0309,BRAND_0721,11,500698.88
COUNTRY_0309,BRAND_0721,12,417383.8
COUNTRY_0309,BRAND_0721,13,429955.1
COUNTRY_0309,BRAND_0721,14,431886.2
COUNTRY_0309,BRAND_0721,15,380323.34
COUNTRY_0309,BRAND_0721,16,372750.28
COUNTRY_0309,BRAND_0721,17,371127.12
COUNTRY_0309,BRAND_0721,18,339039.97
COUNTRY_0309,BRAND_0721,19,344919.12
COUNTRY_0309,BRAND_0721,20,334336.38
COUNTRY_0309,BRAND_0721,21,355111.7
COUNTRY_0309,BRAND_0721,22,325663.38
COUNTRY_0309,BRAND_0721,23,287146.4
COUNTRY_0309,BRAND_1DF6,0,5205285.0
COUNTRY_0309,BRAND_1DF6,1,4704763.0
COUNTRY_0309,BRAND_1DF6,2,5723646.0
COUNTRY_0309,BRAND_1DF6,3,2792668.0
COUNTRY_0309,BRAND_1DF6,4,4724069.0
COUNTRY_0309,BRAND_1DF6,5,3241041.2
COUNTRY_0309,BRAND_1DF6,6,3958604.8
COUNTRY_0309,BRAND_1DF6,7,5370001.0
COUNTRY_0309,BRAND_1DF6,8,3237426.8
COUNTRY_0309,BRAND_1DF6,9,3005751.5
COUNTRY_0309,BRAND_1DF6,10,3014234.0
COUNTRY_0309,BRAND_1DF6,11,3583935.5
COUNTRY_0309,BRAND_1DF6,12,3702268.0
COUNTRY_0309,BRAND_1DF6,13,2781740.5
COUNTRY_0309,BRAND_1DF6,14,3244412.0
COUNTRY_0309,BRAND_1DF6,15,3646319.2
COUNTRY_0309,BRAND_1DF6,16,3424919.8
COUNTRY_0309,BRAND_1DF6,17,3082508.5
COUNTRY_0309,BRAND_1DF6,18,3578341.5
COUNTRY_0309,BRAND_1DF6,19,2451302.8
COUNTRY_0309,BRAND_1DF6,20,2469755.8
COUNTRY_0309,BRAND_1DF6,21,1834550.9
COUNTRY_0309,BRAND_1DF6,22,2266675.8
COUNTRY_0309,BRAND_1DF6,23,1307814.8
COUNTRY_0309,BRAND_1F12,0,5190344.5
COUNTRY_0309,BRAND_1F12,1,4605943.5
COUNTRY_0309,BRAND_1F12,2,4587921.0
COUNTRY_0309,BRAND_1F12,3,2392936.2
COUNTRY_0309,BRAND_1F12,4,2257610.5
COUNTRY_0309,BRAND_1F12,5,1947570.6
COUNTRY_0309,BRAND_1F12,6,2202578.5
COUNTRY_0309,BRAND_1F12,7,2175253.2
COUNTRY_0309,BRAND_1F12,8,1953307.1
COUNTRY_0309,BRAND_1F12,9,1813208.9
COUNTRY_0309,BRAND_1F12,10,1660007.6
COUNTRY_0309,BRAND_1F12,11,1918020.0
COUNTRY_0309,BRAND_1F12,12,1753516.5
COUNTRY_0309,BRAND_1F12,13,1667641.4
COUNTRY_0309,BRAND_1F12,14,1743922.1
COUNTRY_0309,BRAND_1F12,15,1635189.8
COUNTRY_0309,BRAND_1F12,16,1586572.5
COUNTRY_0309,BRAND_1F12,17,1572333.6
COUNTRY_0309,BRAND_1F12,18,1616866.9
COUNTRY_0309,BRAND_1F12,19,1411787.6
COUNTRY_0309,BRAND_1F12,20,1158295.0
COUNTRY_0309,BRAND_1F12,21,931721.3
COUNTRY_0309,BRAND_1F12,22,904839.7
COUNTRY_0309,BRAND_1F12,23,660450.25
COUNTRY_0309,BRAND_50AA,0,37277.098
COUNTRY_0309,BRAND_50AA,1,37563.56
COUNTRY_0309,BRAND_50AA,2,32828.2
COUNTRY_0309,BRAND_50AA,3,32690.418
COUNTRY_0309,BRAND_50AA,4,36241.363
COUNTRY_0309,BRAND_50AA,5,36355.53
COUNTRY_0309,BRAND_50AA,6,37429.53
COUNTRY_0309,BRAND_50AA,7,31191.258
COUNTRY_0309,BRAND_50AA,8,32300.186
COUNTRY_0309,BRAND_50AA,9,33599.254
COUNTRY_0309,BRAND_50AA,10,31841.98
COUNTRY_0309,BRAND_50AA,11,25374.068
COUNTRY_0309,BRAND_50AA,12,29676.213
COUNTRY_0309,BRAND_50AA,13,27634.045
COUNTRY_0309,BRAND_50AA,14,27323.941
COUNTRY_0309,BRAND_50AA,15,22117.75
COUNTRY_0309,BRAND_50AA,16,22403.334
COUNTRY_0309,BRAND_50AA,17,26937.996
COUNTRY_0309,BRAND_50AA,18,24635.873
COUNTRY_0309,BRAND_50AA,19,21527.908
COUNTRY_0309,BRAND_50AA,20,19040.006
COUNTRY_0309,BRAND_50AA,21,16946.812
COUNTRY_0309,BRAND_50AA,22,12484.479
COUNTRY_0309,BRAND_50AA,23,27943.059
COUNTRY_0309,BRAND_5E92,0,125498.25
COUNTRY_0309,BRAND_5E92,1,113074.805
COUNTRY_0309,BRAND_5E92,2,114261.81
COUNTRY_0309,BRAND_5E92,3,97357.055
COUNTRY_0309,BRAND_5E92,4,80614.35
COUNTRY_0309,BRAND_5E92,5,80926.55
COUNTRY_0309,BRAND_5E92,6,94313.89
COUNTRY_0309,BRAND_5E92,7,77772.1
COUNTRY_0309,BRAND_5E92,8,73492.08
COUNTRY_0309,BRAND_5E92,9,69207.73
COUNTRY_0309,BRAND_5E92,10,62423.656
COUNTRY_0309,BRAND_5E92,11,55776.6
COUNTRY_0309,BRAND_5E92,12,58110.258
COUNTRY_0309,BRAND_5E92,13,61775.812
COUNTRY_0309,BRAND_5E92,14,59797.473
COUNTRY_0309,BRAND_5E92,15,61206.273
COUNTRY_0309,BRAND_5E92,16,59391.73
COUNTRY_0309,BRAND_5E92,17,59246.17
COUNTRY_0309,BRAND_5E92,18,60556.855
COUNTRY_0309,BRAND_5E92,19,58249.75
COUNTRY_0309,BRAND_5E92,20,54268.215
COUNTRY_0309,BRAND_5E92,21,52575.258
COUNTRY_0309,BRAND_5E92,22,46183.977
COUNTRY_0309,BRAND_5E92,23,45932.504
COUNTRY_0309,BRAND_6299,0,215061.03
COUNTRY_0309,BRAND_6299,1,190766.12
COUNTRY_0309,BRAND_6299,2,167066.23
COUNTRY_0309,BRAND_6299,3,160537.95
COUNTRY_0309,BRAND_6299,4,135608.6
COUNTRY_0309,BRAND_6299,5,120065.24
COUNTRY_0309,BRAND_6299,6,115561.414
COUNTRY_0309,BRAND_6299,7,102847.55
COUNTRY_0309,BRAND_6299,8,106367.836
COUNTRY_0309,BRAND_6299,9,102373.13
COUNTRY_0309,BRAND_6299,10,122442.91
COUNTRY_0309,BRAND_6299,11,104505.64
COUNTRY_0309,BRAND_6299,12,126861.52
COUNTRY_0309,BRAND_6299,13,132788.86
COUNTRY_0309,BRAND_6299,14,118348.96
COUNTRY_0309,BRAND_6299,15,117284.695
COUNTRY_0309,BRAND_6299,16,89472.875
COUNTRY_0309,BRAND_6299,17,98461.76
COUNTRY_0309,BRAND_6299,18,107709.37
COUNTRY_0309,BRAND_6299,19,109836.07
COUNTRY_0309,BRAND_6299,20,104735.82
COUNTRY_0309,BRAND_6299,21,132790.38
COUNTRY_0309,BRAND_6299,22,106765.62
COUNTRY_0309,BRAND_6299,23,110160.64
COUNTRY_0309,BRAND_76DA,0,120199.98
COUNTRY_0309,BRAND_76DA,1,107303.36
COUNTRY_0309,BRAND_76DA,2,93829.52
COUNTRY_0309,BRAND_76DA,3,84465.836
COUNTRY_0309,BRAND_76DA,4,77518.41
COUNTRY_0309,BRAND_76DA,5,65180.715
COUNTRY_0309,BRAND_76DA,6,74238.5
COUNTRY_0309,BRAND_76DA,7,62905.582
COUNTRY_0309,BRAND_76DA,8,50261.094
COUNTRY_0309,BRAND_76DA,9,40048.094
COUNTRY_0309,BRAND_76DA,10,41126.55
COUNTRY_0309,BRAND_76DA,11,37651.754
COUNTRY_0309,BRAND_76DA,12,40340.996
COUNTRY_0309,BRAND_76DA,13,48527.266
COUNTRY_0309,BRAND_76DA,14,33845.027
COUNTRY_0309,BRAND_76DA,15,37670.145
COUNTRY_0309,BRAND_76DA,16,33081.297
COUNTRY_0309,BRAND_76DA,17,31705.86
COUNTRY_0309,BRAND_76DA,18,30482.525
COUNTRY_0309,BRAND_76DA,19,26474.05
COUNTRY_0309,BRAND_76DA,20,30929.957
COUNTRY_0309,BRAND_76DA,21,22165.41
COUNTRY_0309,BRAND_76DA,22,21836.574
COUNTRY_0309,BRAND_76DA,23,22529.988
COUNTRY_0309,BRAND_83AC,0,252916.3
COUNTRY_0309,BRAND_83AC,1,198108.69
COUNTRY_0309,BRAND_83AC,2,233243.44
COUNTRY_0309,BRAND_83AC,3,260652.02
COUNTRY_0309,BRAND_83AC,4,249943.98
COUNTRY_0309,BRAND_83AC,5,230803.02
COUNTRY_0309,BRAND_83AC,6,250834.42
COUNTRY_0309,BRAND_83AC,7,197999.33
COUNTRY_0309,BRAND_83AC,8,228618.03
COUNTRY_0309,BRAND_83AC,9,194985.58
COUNTRY_0309,BRAND_83AC,10,173413.06
COUNTRY_0309,BRAND_83AC,11,192147.77
COUNTRY_0309,BRAND_83AC,12,186091.27
COUNTRY_0309,BRAND_83AC,13,165895.64
COUNTRY_0309,BRAND_83AC,14,165779.23
COUNTRY_0309,BRAND_83AC,15,170585.22
COUNTRY_0309,BRAND_83AC,16,172888.28
COUNTRY_0309,BRAND_83AC,17,163158.78
COUNTRY_0309,BRAND_83AC,18,170169.25
COUNTRY_0309,BRAND_83AC,19,160968.12
COUNTRY_0309,BRAND_83AC,20,160001.47
COUNTRY_0309,BRAND_83AC,21,162704.44
COUNTRY_0309,BRAND_83AC,22,149878.12
COUNTRY_0309,BRAND_83AC,23,125170.74
COUNTRY_0309,BRAND_98C4,0,323508.6
COUNTRY_0309,BRAND_98C4,1,270577.1
COUNTRY_0309,BRAND_98C4,2,280988.88
