country,brand_name,months_postgx,volume
COUNTRY_0024,BRAND_31BE,0,66329.02
COUNTRY_0024,BRAND_31BE,1,64242.727
COUNTRY_0024,BRAND_31BE,2,62787.867
COUNTRY_0024,BRAND_31BE,3,53524.617
COUNTRY_0024,BRAND_31BE,4,56141.906
COUNTRY_0024,BRAND_31BE,5,54474.594
COUNTRY_0024,BRAND_31BE,6,65150.074
COUNTRY_0024,BRAND_31BE,7,55903.508
COUNTRY_0024,BRAND_31BE,8,55231.34
COUNTRY_0024,BRAND_31BE,9,55149.754
COUNTRY_0024,BRAND_31BE,10,60777.582
COUNTRY_0024,BRAND_31BE,11,56057.85
COUNTRY_0024,BRAND_31BE,12,50490.98
COUNTRY_0024,BRAND_31BE,13,52326.45
COUNTRY_0024,BRAND_31BE,14,55282.93
COUNTRY_0024,BRAND_31BE,15,49432.375
COUNTRY_0024,BRAND_31BE,16,57262.438
COUNTRY_0024,BRAND_31BE,17,54752.88
COUNTRY_0024,BRAND_31BE,18,52838.098
COUNTRY_0024,BRAND_31BE,19,55303.02
COUNTRY_0024,BRAND_31BE,20,51648.992
COUNTRY_0024,BRAND_31BE,21,53584.066
COUNTRY_0024,BRAND_31BE,22,60874.63
COUNTRY_0024,BRAND_31BE,23,54004.082
COUNTRY_0024,BRAND_5165,0,2269.3098
COUNTRY_0024,BRAND_5165,1,2227.3608
COUNTRY_0024,BRAND_5165,2,2181.7964
COUNTRY_0024,BRAND_5165,3,1894.339
COUNTRY_0024,BRAND_5165,4,1692.1156
COUNTRY_0024,BRAND_5165,5,2241.4395
COUNTRY_0024,BRAND_5165,6,1894.4773
COUNTRY_0024,BRAND_5165,7,1574.9893
COUNTRY_0024,BRAND_5165,8,1775.5703
COUNTRY_0024,BRAND_5165,9,1818.2937
COUNTRY_0024,BRAND_5165,10,1838.3799
COUNTRY_0024,BRAND_5165,11,2012.3464
COUNTRY_0024,BRAND_5165,12,1860.5696
COUNTRY_0024,BRAND_5165,13,1524.5416
COUNTRY_0024,BRAND_5165,14,1477.4061
COUNTRY_0024,BRAND_5165,15,1346.2498
COUNTRY_0024,BRAND_5165,16,1345.7943
COUNTRY_0024,BRAND_5165,17,1801.8846
COUNTRY_0024,BRAND_5165,18,1542.6516
COUNTRY_0024,BRAND_5165,19,1714.7002
COUNTRY_0024,BRAND_5165,20,1623.6626
COUNTRY_0024,BRAND_5165,21,1575.1704
COUNTRY_0024,BRAND_5165,22,1711.5125
COUNTRY_0024,BRAND_5165,23,1646.8451
COUNTRY_01A1,BRAND_03DE,0,415135.72
COUNTRY_01A1,BRAND_03DE,1,376442.0
COUNTRY_01A1,BRAND_03DE,2,351769.03
COUNTRY_01A1,BRAND_03DE,3,330753.03
COUNTRY_01A1,BRAND_03DE,4,281074.9
COUNTRY_01A1,BRAND_03DE,5,269608.06
COUNTRY_01A1,BRAND_03DE,6,271916.03
COUNTRY_01A1,BRAND_03DE,7,277587.62
COUNTRY_01A1,BRAND_03DE,8,275086.94
COUNTRY_01A1,BRAND_03DE,9,246345.77
COUNTRY_01A1,BRAND_03DE,10,256762.73
COUNTRY_01A1,BRAND_03DE,11,274139.16
COUNTRY_01A1,BRAND_03DE,12,248960.52
COUNTRY_01A1,BRAND_03DE,13,220393.2
COUNTRY_01A1,BRAND_03DE,14,224287.03
COUNTRY_01A1,BRAND_03DE,15,222947.97
COUNTRY_01A1,BRAND_03DE,16,215988.42
COUNTRY_01A1,BRAND_03DE,17,221532.81
COUNTRY_01A1,BRAND_03DE,18,206017.56
COUNTRY_01A1,BRAND_03DE,19,212076.2
COUNTRY_01A1,BRAND_03DE,20,229993.77
COUNTRY_01A1,BRAND_03DE,21,207342.12
COUNTRY_01A1,BRAND_03DE,22,189123.5
COUNTRY_01A1,BRAND_03DE,23,193993.27
COUNTRY_01A1,BRAND_240F,0,8748.315
COUNTRY_01A1,BRAND_240F,1,7834.6064
COUNTRY_01A1,BRAND_240F,2,7725.4365
COUNTRY_01A1,BRAND_240F,3,7042.8486
COUNTRY_01A1,BRAND_240F,4,6017.256
COUNTRY_01A1,BRAND_240F,5,5182.7485
COUNTRY_01A1,BRAND_240F,6,4414.0547
COUNTRY_01A1,BRAND_240F,7,4389.132
COUNTRY_01A1,BRAND_240F,8,4045.6396
COUNTRY_01A1,BRAND_240F,9,4239.931
COUNTRY_01A1,BRAND_240F,10,3300.31
COUNTRY_01A1,BRAND_240F,11,3262.172
COUNTRY_01A1,BRAND_240F,12,2963.0894
COUNTRY_01A1,BRAND_240F,13,2169.2903
COUNTRY_01A1,BRAND_240F,14,3298.673
COUNTRY_01A1,BRAND_240F,15,2404.479
COUNTRY_01A1,BRAND_240F,16,1956.9863
COUNTRY_01A1,BRAND_240F,17,2152.0508
COUNTRY_01A1,BRAND_240F,18,2780.3064
COUNTRY_01A1,BRAND_240F,19,2406.114
COUNTRY_01A1,BRAND_240F,20,1493.1672
COUNTRY_01A1,BRAND_240F,21,2370.1855
COUNTRY_01A1,BRAND_240F,22,2402.1792
COUNTRY_01A1,BRAND_240F,23,2514.0144
COUNTRY_01A1,BRAND_7FD0,0,42468.23
COUNTRY_01A1,BRAND_7FD0,1,42563.64
COUNTRY_01A1,BRAND_7FD0,2,34355.965
COUNTRY_01A1,BRAND_7FD0,3,36626.844
COUNTRY_01A1,BRAND_7FD0,4,32675.613
COUNTRY_01A1,BRAND_7FD0,5,36443.67
COUNTRY_01A1,BRAND_7FD0,6,33242.082
COUNTRY_01A1,BRAND_7FD0,7,30973.705
COUNTRY_01A1,BRAND_7FD0,8,30625.395
COUNTRY_01A1,BRAND_7FD0,9,25957.816
COUNTRY_01A1,BRAND_7FD0,10,25807.562
COUNTRY_01A1,BRAND_7FD0,11,27680.627
COUNTRY_01A1,BRAND_7FD0,12,22876.988
COUNTRY_01A1,BRAND_7FD0,13,24039.217
COUNTRY_01A1,BRAND_7FD0,14,27100.232
COUNTRY_01A1,BRAND_7FD0,15,23760.16
COUNTRY_01A1,BRAND_7FD0,16,24217.787
COUNTRY_01A1,BRAND_7FD0,17,24947.0
COUNTRY_01A1,BRAND_7FD0,18,25199.322
COUNTRY_01A1,BRAND_7FD0,19,25225.412
COUNTRY_01A1,BRAND_7FD0,20,21947.314
COUNTRY_01A1,BRAND_7FD0,21,24723.691
COUNTRY_01A1,BRAND_7FD0,22,27863.648
COUNTRY_01A1,BRAND_7FD0,23,20816.656
COUNTRY_0309,BRAND_0721,0,662193.5
COUNTRY_0309,BRAND_0721,1,574975.25
COUNTRY_0309,BRAND_0721,2,620700.7
COUNTRY_0309,BRAND_0721,3,598418.2
COUNTRY_0309,BRAND_0721,4,569666.2
COUNTRY_0309,BRAND_0721,5,544242.2
COUNTRY_0309,BRAND_0721,6,507304.88
COUNTRY_0309,BRAND_0721,7,474876.1
COUNTRY_0309,BRAND_0721,8,535985.9
COUNTRY_0309,BRAND_0721,9,506363.78
COUNTRY_0309,BRAND_0721,10,519956.75
COUNTRY_0309,BRAND_0721,11,511449.56
COUNTRY_0309,BRAND_0721,12,433906.66
COUNTRY_0309,BRAND_0721,13,407878.06
COUNTRY_0309,BRAND_0721,14,405523.75
COUNTRY_0309,BRAND_0721,15,353837.9
COUNTRY_0309,BRAND_0721,16,358088.75
COUNTRY_0309,BRAND_0721,17,377623.2
COUNTRY_0309,BRAND_0721,18,350499.2
COUNTRY_0309,BRAND_0721,19,404352.47
COUNTRY_0309,BRAND_0721,20,356303.4
COUNTRY_0309,BRAND_0721,21,384679.16
COUNTRY_0309,BRAND_0721,22,334226.72
COUNTRY_0309,BRAND_0721,23,307999.72
COUNTRY_0309,BRAND_1DF6,0,5459947.5
COUNTRY_0309,BRAND_1DF6,1,4671971.5
COUNTRY_0309,BRAND_1DF6,2,5428536.0
COUNTRY_0309,BRAND_1DF6,3,3374192.0
COUNTRY_0309,BRAND_1DF6,4,4593915.0
COUNTRY_0309,BRAND_1DF6,5,3548697.0
COUNTRY_0309,BRAND_1DF6,6,3978827.2
COUNTRY_0309,BRAND_1DF6,7,4856706.0
COUNTRY_0309,BRAND_1DF6,8,3398490.5
COUNTRY_0309,BRAND_1DF6,9,3502887.5
COUNTRY_0309,BRAND_1DF6,10,2962701.0
COUNTRY_0309,BRAND_1DF6,11,3281617.0
COUNTRY_0309,BRAND_1DF6,12,3249242.5
COUNTRY_0309,BRAND_1DF6,13,2859330.5
COUNTRY_0309,BRAND_1DF6,14,2978671.0
COUNTRY_0309,BRAND_1DF6,15,3423871.5
