country,brand_name,months_postgx,volume
COUNTRY_0024,BRAND_31BE,0,71304.61
COUNTRY_0024,BRAND_31BE,1,81227.26
COUNTRY_0024,BRAND_31BE,2,82006.555
COUNTRY_0024,BRAND_31BE,3,72031.56
COUNTRY_0024,BRAND_31BE,4,71041.93
COUNTRY_0024,BRAND_31BE,5,71395.11
COUNTRY_0024,BRAND_31BE,6,69113.47
COUNTRY_0024,BRAND_31BE,7,64465.145
COUNTRY_0024,BRAND_31BE,8,64728.074
COUNTRY_0024,BRAND_31BE,9,69668.5
COUNTRY_0024,BRAND_31BE,10,78124.016
COUNTRY_0024,BRAND_31BE,11,65228.473
COUNTRY_0024,BRAND_31BE,12,61347.285
COUNTRY_0024,BRAND_31BE,13,58406.562
COUNTRY_0024,BRAND_31BE,14,57747.51
COUNTRY_0024,BRAND_31BE,15,64347.945
COUNTRY_0024,BRAND_31BE,16,72351.016
COUNTRY_0024,BRAND_31BE,17,54817.88
COUNTRY_0024,BRAND_31BE,18,66234.016
COUNTRY_0024,BRAND_31BE,19,62453.79
COUNTRY_0024,BRAND_31BE,20,43086.125
COUNTRY_0024,BRAND_31BE,21,56862.562
COUNTRY_0024,BRAND_31BE,22,57560.074
COUNTRY_0024,BRAND_31BE,23,53017.996
COUNTRY_0024,BRAND_5165,0,2436.4158
COUNTRY_0024,BRAND_5165,1,1812.3904
COUNTRY_0024,BRAND_5165,2,2415.7117
COUNTRY_0024,BRAND_5165,3,1839.4862
COUNTRY_0024,BRAND_5165,4,1459.3596
COUNTRY_0024,BRAND_5165,5,2292.5288
COUNTRY_0024,BRAND_5165,6,1981.7638
COUNTRY_0024,BRAND_5165,7,1561.6791
COUNTRY_0024,BRAND_5165,8,1893.7571
COUNTRY_0024,BRAND_5165,9,2012.8331
COUNTRY_0024,BRAND_5165,10,1883.8771
COUNTRY_0024,BRAND_5165,11,2263.167
COUNTRY_0024,BRAND_5165,12,1579.6547
COUNTRY_0024,BRAND_5165,13,1632.195
COUNTRY_0024,BRAND_5165,14,2407.5503
COUNTRY_0024,BRAND_5165,15,1513.1095
COUNTRY_0024,BRAND_5165,16,1553.4083
COUNTRY_0024,BRAND_5165,17,2317.32
COUNTRY_0024,BRAND_5165,18,1732.5784
COUNTRY_0024,BRAND_5165,19,2022.1993
COUNTRY_0024,BRAND_5165,20,1570.6809
COUNTRY_0024,BRAND_5165,21,1650.2202
COUNTRY_0024,BRAND_5165,22,1874.4572
COUNTRY_0024,BRAND_5165,23,1533.5857
COUNTRY_01A1,BRAND_03DE,0,461145.7
COUNTRY_01A1,BRAND_03DE,1,391473.25
COUNTRY_01A1,BRAND_03DE,2,363826.72
COUNTRY_01A1,BRAND_03DE,3,340445.2
