,country,brand_name,months_postgx,volume
0,COUNTRY_9891,BRAND_DB48,-24,227558.42059124398
1,COUNTRY_9891,BRAND_DB48,-23,217291.29581439772
2,COUNTRY_9891,BRAND_DB48,-22,243791.3067091412
3,COUNTRY_9891,BRAND_DB48,-21,223723.25918504398
4,COUNTRY_9891,BRAND_DB48,-20,230296.89679045134
5,COUNTRY_9891,BRAND_DB48,-19,229192.6095878825
6,COUNTRY_9891,BRAND_DB48,-18,234602.67032951527
7,COUNTRY_9891,BRAND_DB48,-17,218346.1539315085
8,COUNTRY_9891,BRAND_DB48,-16,235507.21475719166
9,COUNTRY_9891,BRAND_DB48,-15,252458.75003186177
10,COUNTRY_9891,BRAND_DB48,-14,228146.80160145782
11,COUNTRY_9891,BRAND_DB48,-13,255291.13342045154
12,COUNTRY_9891,BRAND_DB48,-12,223560.52169305694
13,COUNTRY_9891,BRAND_DB48,-11,216066.33854810268
14,COUNTRY_9891,BRAND_DB48,-10,242313.90954755552
15,COUNTRY_9891,BRAND_DB48,-9,223701.53244998096
16,COUNTRY_9891,BRAND_DB48,-8,218669.52399780773
17,COUNTRY_9891,BRAND_DB48,-7,218401.90099139255
18,COUNTRY_9891,BRAND_DB48,-6,221658.8477224575
19,COUNTRY_9891,BRAND_DB48,-5,211261.31782087433
20,COUNTRY_9891,BRAND_DB48,-4,222804.30708337307
21,COUNTRY_9891,BRAND_DB48,-3,229651.75288086635
22,COUNTRY_9891,BRAND_DB48,-2,218812.09875330803
23,COUNTRY_9891,BRAND_DB48,-1,239723.98378842516
24,COUNTRY_9891,BRAND_DB48,0,86244.50627497763
25,COUNTRY_9891,BRAND_DB48,1,73503.64154318499
26,COUNTRY_9891,BRAND_DB48,2,76688.78048449727
27,COUNTRY_9891,BRAND_DB48,3,67212.65582193919
28,COUNTRY_9891,BRAND_DB48,4,66361.77316102534
29,COUNTRY_9891,BRAND_DB48,5,69226.80335029429
30,COUNTRY_01A1,BRAND_0D48,-24,58130.338207468056
31,COUNTRY_01A1,BRAND_0D48,-23,54512.889545174374
32,COUNTRY_01A1,BRAND_0D48,-22,56235.81577282332
33,COUNTRY_01A1,BRAND_0D48,-21,50461.29040262252
34,COUNTRY_01A1,BRAND_0D48,-20,51969.27903821459
35,COUNTRY_01A1,BRAND_0D48,-19,58551.26059999695
36,COUNTRY_01A1,BRAND_0D48,-18,56398.70494934568
37,COUNTRY_01A1,BRAND_0D48,-17,54793.418188125
38,COUNTRY_01A1,BRAND_0D48,-16,55926.509268800226
39,COUNTRY_01A1,BRAND_0D48,-15,57826.94495928423
40,COUNTRY_01A1,BRAND_0D48,-14,50950.58951254709
41,COUNTRY_01A1,BRAND_0D48,-13,57879.525935861224
42,COUNTRY_01A1,BRAND_0D48,-12,57109.06545268687
43,COUNTRY_01A1,BRAND_0D48,-11,54205.5787534335
44,COUNTRY_01A1,BRAND_0D48,-10,55895.02169068918
45,COUNTRY_01A1,BRAND_0D48,-9,50456.38988806937
46,COUNTRY_01A1,BRAND_0D48,-8,49345.42179322511
47,COUNTRY_01A1,BRAND_0D48,-7,55794.58536414268
48,COUNTRY_01A1,BRAND_0D48,-6,53286.997690827506
49,COUNTRY_01A1,BRAND_0D48,-5,53015.496384537466
50,COUNTRY_01A1,BRAND_0D48,-4,52909.91682812709
51,COUNTRY_01A1,BRAND_0D48,-3,52602.88768746966
52,COUNTRY_01A1,BRAND_0D48,-2,48865.92906717083
53,COUNTRY_01A1,BRAND_0D48,-1,54350.14663936076
54,COUNTRY_01A1,BRAND_0D48,0,32658.769099854213
55,COUNTRY_01A1,BRAND_0D48,1,27335.31997463144
56,COUNTRY_01A1,BRAND_0D48,2,22201.567521108584
57,COUNTRY_01A1,BRAND_0D48,3,19026.341762323987
58,COUNTRY_01A1,BRAND_0D48,4,18794.622634525862
59,COUNTRY_01A1,BRAND_0D48,5,22195.602614812564
60,COUNTRY_4253,BRAND_1F3E,-24,361692.582857191
61,COUNTRY_4253,BRAND_1F3E,-23,376525.6778028376
62,COUNTRY_4253,BRAND_1F3E,-22,333401.1540317736
63,COUNTRY_4253,BRAND_1F3E,-21,319704.0742954107
